Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2016,15.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2015,14.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2014,14.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2013,14.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2012,13.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2011,13.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2010,13.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2009,13.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2008,12.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2007,12.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2006,12.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2005,11.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2004,11.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2003,11.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2002,11.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2001,10.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,2000,10.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1999,10.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1998,10.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1997,9.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1996,9.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1995,9.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1994,9.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1993,9.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1992,9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1991,8.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1990,8.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1989,8.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1988,8.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1987,8.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1986,7.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1985,7.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1984,7.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1983,7.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1982,7.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1981,7.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1980,7.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1979,6.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1978,6.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1977,6.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1976,6.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,World,WLD,1975,6.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2016,7.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2015,7.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2014,7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2013,6.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2012,6.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2011,6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2010,5.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2009,5.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2008,5.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2007,4.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2006,4.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2005,4.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2004,4.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2003,4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2002,3.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2001,3.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,2000,3.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1999,3.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1998,3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1997,2.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1996,2.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1995,2.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1994,2.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1993,2.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1992,2.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1991,2.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1990,1.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1989,1.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1988,1.7,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1987,1.6,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1986,1.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1985,1.5,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1984,1.4,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1983,1.3,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1982,1.2,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1981,1.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1980,1.1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1979,1,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1978,0.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1977,0.9,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1976,0.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Afghanistan,AFG,1975,0.8,female
"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Albania,ALB,2016,21.8,female
